#{"t_start": 1776510103.5959845, "env_id": "None"}
r,l,t
-1311.723038,8,7.733526
-1672.719185,9,7.736609
-128.813024,7,7.738844
-131.859567,8,7.741907
-1488.073152,8,7.749417
-4563.320789,9,7.752078
-2436.567469,9,7.754829
-112.41125,7,7.756717
-851.522269,8,7.759966
-2013.141136,9,7.763882
-4199.058018,12,7.766931
-7400.957695,10,7.769592
-7841.222109,9,7.772057
-7352.55084,10,7.77512
-723.385382,8,7.779129
-3561.471361,9,7.782376
-7248.166296,12,7.78667
-975.896494,8,7.789897
-738.214812,8,7.795228
-4232.045007,9,7.798567
-1113.565976,9,7.801811
-1262.338031,9,7.804964
-687.12118,8,7.808724
-4621.246912,9,7.812729
-5276.956918,9,7.815298
-2272.835773,10,7.817989
-558.557655,8,7.82013
-5682.567552,9,7.822341
-1094.767437,9,7.826489
-84.916948,7,7.828557
-2302.47226,9,7.83093
-31430.108924,10,7.833673
-437.407758,8,7.835885
-1063.032562,8,7.838051
-655.362299,8,7.840628
-419.133301,9,7.844404
-1222.73084,9,7.84717
-4640.804842,9,7.849563
-3191.953941,9,7.851981
-401.999745,10,7.854601
-993.378423,8,7.857429
-7166.872726,9,7.860773
-1053.141153,8,7.863484
-1254.028309,8,7.866072
-1319.202116,9,7.869165
-381.439186,8,7.872545
-4431.251176,11,7.876387
-7526.255564,11,7.880069
-2579.798574,10,7.883359
-57669.979396,11,7.886773
-398.766831,8,7.889781
-321.907315,9,7.893043
-2625.642186,9,7.896236
-1033.275483,8,7.899058
-1516.12509,8,7.901888
-1810.988352,11,7.905565
-1514.463863,8,7.908528
-397.033638,10,7.911906
-695.484277,8,7.91449
-1265.88297,9,7.917466
-1062.220141,10,7.920869
-1022.491141,8,7.923465
-230.312761,7,7.925831
-106.263671,9,7.928721
-2232.909368,9,7.9316
-706.038371,8,7.934103
-1031.362748,8,7.93695
-1646.689293,9,7.939826
-846.404198,8,7.942625
-4171.166448,9,7.945561
-1218.147759,10,7.948802
-2284.646524,13,7.953053
-743.15042,8,7.955581
-1538.411287,9,7.958407
-6168.769932,10,7.961595
-2256.668649,9,8.700609
-1229.421817,9,8.703734
-1405.880074,8,8.708044
-371.613363,8,8.711451
-7605.438154,11,8.714423
-708.071359,11,8.717342
-554.627661,9,8.719687
-4234.933778,9,8.722811
-1175.020409,9,8.726599
-619.154958,9,8.729444
-328.43985,9,8.731806
-4746.167848,9,8.734428
-1984.923973,9,8.736853
-4386.261154,9,8.742932
-862.513523,8,8.746507
-104.6523,9,8.749274
-775.736126,9,8.751892
-2274.527157,9,8.754909
-101.046811,7,8.75911
-1798.730615,10,8.764412
-7607.966695,9,8.767062
-6795.54959,9,8.770562
-2023.163805,9,8.774218
-6186.172839,9,8.777984
-989.646446,9,8.784532
-4291.086645,10,8.788673
-2369.343835,9,8.792342
-2257.816739,9,8.795732
-1551.487137,9,8.798983
-537.636006,8,8.803222
-1729.834981,9,8.80591
-2902.741108,9,8.810762
-1990.772976,10,8.813907
-1705.371911,9,8.81734
-1109.361083,8,8.820462
-139.905454,8,8.823283
-4237.033553,11,8.827406
-6472.554169,9,8.830558
-6993.493907,10,8.834598
-130.254587,7,8.837225
-699.114551,8,8.839923
-765.95493,11,8.844527
-2300.488762,9,8.847569
-2389.621429,9,8.851301
-6265.359253,10,8.854535
-5300.552424,9,8.858392
-259.653613,8,8.861152
-4636.885191,10,8.864877
-148.996071,7,8.867759
-150.974778,8,8.870756
-1527.620771,9,8.874601
-135.089523,8,8.87777
-263.085052,9,8.882311
-1254.6313,8,8.884829
-3484.110464,9,8.887458
-3062.850326,9,8.889868
-548.393176,9,8.893909
-654.234454,8,8.897324
-280.390508,8,8.900286
-1256.368048,10,8.903571
-276.013532,8,8.906449
-1164.039371,8,8.909518
-988.830656,9,8.912992
-1672.017978,8,8.915777
-1591.591127,8,8.919079
-908.881906,8,8.9216
-2947.94552,9,8.92414
-3504.282548,9,8.927439
-1166.635635,9,8.930132
-76.000852,8,8.932303
-698.989642,8,8.934698
-2313.706762,9,8.937187
-578.137961,9,8.93945
-6241.310649,12,8.946429
-329.472315,9,8.952986
-1643.109649,9,8.955728
-5425.090533,9,8.95946
-2273.555856,9,8.962655
-4185.373835,9,8.965605
-1237.038777,8,8.968194
-259.537252,8,8.970661
-289.29063,8,8.97326
-438.558143,8,8.976724
-5115.710357,9,8.979711
-2312.552026,9,8.982496
-4321.455728,9,8.985372
-1474.493393,10,8.988595
-6649.022815,12,8.993022
-4959.003709,9,8.995507
-5176.099811,10,8.99794
-3232.871329,10,9.000478
-723.765151,8,9.002456
-709.687849,10,9.005154
-5761.17026,9,9.008501
-269.360851,8,9.011305
-10727.516409,10,9.014439
-2613.268851,9,9.017357
-262.513448,8,9.020222
-579.440335,9,9.02339
-528.813718,8,9.026068
-703.151571,9,9.028968
-116.719168,9,9.031757
-547.8311,8,9.034282
-1105.262898,8,9.03691
-4220.761574,10,9.042185
-143.948171,7,9.044977
-880.717829,8,9.047589
-5151.375666,10,9.05072
-1592.1041,9,9.054073
-589.069225,8,9.056798
-4256.092856,9,9.059973
-3885.428212,9,9.062827
-4390.926359,9,9.065725
-1025.129747,8,9.068393
-1128.095702,8,9.071074
-1111.539046,9,9.074002
-1618.718816,9,9.07714
-559.525653,8,9.079879
-1889.297332,10,9.083127
-111.833468,7,9.085613
-1680.043485,9,9.088497
-13815.884738,10,9.09418
-34898.480038,10,9.098198
-4251.298641,9,9.101206
-3985.457867,10,9.104068
-2324.444997,9,9.106275
-1187.342183,8,9.108629
-2091.116417,10,9.111386
-631.841167,8,9.113467
-2307.81976,10,9.11595
-4502.901996,9,9.119185
-1150.191922,9,9.122088
-977.938123,8,9.126087
-384.978221,8,9.128333
-1127.461283,10,9.130792
-947.83837,8,9.133595
-120.434291,7,9.135939
-2255.662473,11,9.139302
-293.182531,8,9.142177
-2144.572326,9,9.14529
-946.764583,8,9.148327
-1198.659488,8,9.150977
-2368.187936,9,9.15377
-5150.487092,9,9.156636
-4493.454417,9,9.162762
-361.375604,8,9.169726
-3683.909269,9,9.17585
-721.502216,8,9.178077
-400.768316,10,9.182131
-1914.801509,9,9.185563
-533.787032,8,9.190336
-237.673761,8,9.192605
-6510.048617,9,9.195513
-1431.349441,9,9.197743
-5764.226176,9,9.200018
-8115.140764,9,9.20223
-7680.013784,9,9.204411
-587.862878,8,9.206386
-1172.715757,8,9.209471
-723.165288,9,9.212621
-334.93258,9,9.215584
-119.672729,8,9.21806
-2308.796997,9,9.220848
-1134.47128,8,9.22366
-4733.838479,9,9.227183
-1263.217548,10,9.23069
-334.360603,8,9.233195
-3748.599404,10,9.23628
-242.787098,8,9.238774
-303.028406,8,9.241786
-1224.261538,8,9.245294
-2584.880802,9,9.248201
-2263.270002,9,9.251059
-611.578387,9,9.253928
-4523.379938,9,9.256958
-2278.346746,10,9.265051
-394.985149,8,9.270343
-64.702411,9,9.277515
-319.370273,8,9.283854
-944.916269,8,9.286387
-6902.478919,9,9.288799
-756.151472,8,9.292291
-142.658557,7,9.294773
-5336.162881,9,9.297696
-115.444661,8,9.300351
-106.045055,7,9.302666
-6016.782047,9,9.305644
-448.766567,8,9.308934
-4538.706787,10,9.312283
-3983.045389,12,9.315955
-4567.562729,9,9.318718
-345.921749,8,9.321684
-4658.409174,10,9.325063
-5494.621996,9,9.328349
-6030.67421,9,9.331287
-5218.353901,9,9.334127
-2166.994734,9,9.336873
-1027.217274,8,9.339663
-2119.578606,9,9.342736
-4176.017389,9,9.345571
-886.976585,8,9.348136
-311.607647,12,9.351863
-4261.092242,9,9.354743
-5597.193073,9,9.357649
-270.601122,8,9.360316
-240.379924,8,9.362768
-1008.802353,8,9.365292
-1185.27854,8,9.367794
-4974.537873,9,9.371581
-1152.585903,9,9.376676
-1069.512447,8,9.379876
-7726.940742,9,9.382883
-1097.983831,8,9.385694
-507.99122,10,9.388813
-6896.250202,9,9.391758
-5179.3762,9,9.394582
-593.841692,8,9.397209
-2186.797227,9,9.399935
-5557.324961,9,9.403128
-5124.790235,9,9.406051
-225.248175,9,9.409018
-2281.509217,9,9.411965
-114.33509,7,9.414197
-1209.832868,8,9.416972
-4155.178659,13,9.421
-1399.146444,8,9.423659
-4407.113153,9,9.426112
-2090.052846,10,9.428878
-1203.461324,8,9.430885
-4957.040696,9,9.434199
-4155.959935,9,9.437343
-5231.396868,10,9.440672
-4280.900764,9,10.092547
-1541.487891,9,10.096336
-1015.193157,8,10.098447
-1222.541217,9,10.100706
-2420.430037,9,10.106018
-1739.990007,8,10.110342
-1131.613617,8,10.113296
-1179.544718,8,10.116096
-277.154598,11,10.119635
-1038.701738,9,10.122631
-7462.36497,10,10.126193
-6013.022496,9,10.12982
-30491.582293,10,10.133168
-1118.85087,9,10.136591
-799.573896,8,10.13917
-4601.249634,9,10.144444
-945.573093,8,10.147174
-2241.080925,12,10.151188
-1811.677097,9,10.15422
-26487.108835,10,10.157952
-1075.630006,8,10.161019
-6074.054823,10,10.16422
-2316.060223,10,10.167336
-1056.440263,8,10.169786
-1128.542626,9,10.173261
-533.764842,8,10.177208
-374.657352,8,10.179616
-6566.293793,10,10.182155
-278.669197,8,10.184217
-2264.815595,10,10.187091
-416.365851,9,10.189506
-700.500103,8,10.193548
-34642.313759,10,10.196089
-317.438997,8,10.198045
-1697.271841,9,10.200497
-1145.223392,8,10.202587
-1265.689256,9,10.204752
-889.656038,8,10.207316
-164.989263,7,10.210103
-1131.845998,10,10.213289
-792.518437,8,10.216017
-4539.776033,10,10.219057
-5128.838101,9,10.222556
-235.874393,9,10.225794
-1594.31816,9,10.22907
-29918.339407,10,10.23222
-126.371264,7,10.234399
-369.086419,8,10.237028
-4637.592538,10,10.24063
-718.374797,8,10.243363
-3760.011391,9,10.246317
-4403.702225,9,10.249223
-4709.786912,9,10.252324
-2478.675967,9,10.255544
-2355.510759,10,10.259209
-1034.877656,8,10.26194
-7743.454466,9,10.265015
-1074.976656,8,10.267739
-1696.341357,9,10.270989
-858.652655,9,10.274531
-270.291759,8,10.27702
-566.199323,9,10.279593
-4491.307308,9,10.282365
-4743.854673,9,10.284669
-7455.249331,9,10.287153
-7251.510074,10,10.289792
-7728.451638,9,10.293803
-9579.080359,10,10.297071
-387.179224,8,10.299316
-362.747361,8,10.301636
-7419.570448,11,10.305586
-431.722009,8,10.30981
-4629.321853,9,10.312556
-622.942998,8,10.314863
-4321.729834,10,10.318378
-1138.681871,8,10.321405
-1102.235948,8,10.327374
-267.28364,8,10.332674
-1199.551298,8,10.336323
-2826.933346,9,10.339476
-711.646781,8,10.34276
-121.740028,7,10.345304
-408.223695,8,10.347868
-548.648017,8,10.350907
-4176.542436,9,10.353937
-961.307766,8,10.356948
-4619.333893,9,10.360218
-2912.710932,11,10.364086
-2300.667134,9,10.367648
